"","player","salaries","position","height","weight","G","FG","FGA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","PTS","Team"
"313","Brian Roberts",2854940,"PG",73,173,21,23,50,8,10,12,16,3,1,7,12,60,"POR"
"314","Noah Vonleh",2637720,"PF",82,240,78,117,278,38,51,305,30,27,26,50,152,283,"POR"
"315","Justin Anderson",1449000,"SF",78,228,55,71,175,44,55,132,29,19,25,24,45,208,"DAL"
"316","J.J. Barea",4e+06,"PG",72,185,74,317,711,74,96,152,302,26,2,113,110,808,"DAL"
"317","Jeremy Evans",1100602,"SF",81,200,30,26,48,15,21,54,2,6,9,7,19,71,"DAL"
"318","Raymond Felton",3950313,"PG",73,205,80,277,682,149,176,258,284,68,15,121,141,763,"DAL"
"319","Devin Harris",4053000,"PG",75,192,64,167,374,101,140,138,118,60,13,66,124,487,"DAL"
"320","Wesley Matthews",16400000,"SG",77,220,78,331,854,126,146,238,151,78,17,78,179,977,"DAL"
"321","JaVale McGee",1270964,"C",84,270,34,77,134,18,36,133,3,5,26,21,49,172,"DAL"
"322","Salah Mejri",525093,"C",85,245,34,49,78,27,46,123,10,8,36,23,54,125,"DAL"
"323","Dirk Nowitzki",8333334,"PF",84,245,75,498,1112,250,280,489,132,52,52,84,161,1372,"DAL"
"324","Zaza Pachulia",5200000,"C",83,270,76,219,470,212,276,718,128,64,22,119,181,650,"DAL"
"325","Chandler Parsons",15361500,"SF",82,230,61,320,651,93,136,285,169,46,21,95,114,837,"DAL"
"326","Dwight Powell",845059,"PF",83,240,69,146,296,105,142,273,44,36,24,40,118,399,"DAL"
"327","Charlie Villanueva",1499187,"PF",83,232,62,125,327,22,24,152,24,18,15,31,71,319,"DAL"
"328","Deron Williams",5500000,"PG",75,200,65,321,775,179,206,190,378,61,14,150,155,918,"DAL"
"329","Jordan Adams",1404600,"SG",77,209,2,2,6,3,5,2,3,3,0,2,2,7,"MEM"
"330","Tony Allen",5168539,"SG",76,213,64,215,469,90,138,296,70,110,18,78,175,535,"MEM"
"331","Chris Andersen",5e+06,"C",82,245,20,34,62,22,32,89,9,14,10,7,25,92,"MEM"
"332","Matt Barnes",3542500,"SF",79,226,76,264,693,111,138,420,163,78,57,121,234,758,"MEM"
"333","Vince Carter",4088091,"SG",78,220,60,133,343,70,84,146,56,38,16,35,101,395,"MEM"
"334","Mario Chalmers",4300000,"PG",74,190,55,172,412,206,249,143,211,80,12,101,165,595,"MEM"
"335","Mike Conley",9588426,"PG",73,175,56,294,696,191,229,164,342,67,16,84,100,857,"MEM"
"336","Bryce Cotton",64622,"PG",73,165,5,2,2,0,0,0,0,0,0,0,0,4,"MEM"
"337","James Ennis",845059,"SF",79,210,10,4,13,6,10,7,2,4,2,2,1,16,"MEM"
"338","Jordan Farmar",191456,"PG",74,180,12,42,100,10,10,25,37,15,2,18,22,110,"MEM"
"339","Marc Gasol",19700000,"C",85,255,52,328,707,203,245,362,196,50,70,118,141,861,"MEM"
"340","JaMychal Green",845059,"PF",81,227,78,230,495,103,137,373,67,46,33,83,189,578,"MEM"
"341","P.J. Hairston",1201440,"SF",78,230,18,46,132,16,22,46,9,8,4,17,31,124,"MEM"
"342","Jarell Martin",1230840,"PF",82,239,27,54,116,45,62,86,15,8,7,19,58,153,"MEM"
"343","Xavier Munford",89588,"SG",74,180,14,32,77,7,14,31,22,13,3,15,25,80,"MEM"
"344","Zach Randolph",9638555,"PF",81,260,68,431,907,172,216,529,142,43,13,105,146,1040,"MEM"
"345","Russ Smith",816482,"PG",72,165,15,7,22,8,13,9,11,5,1,7,5,23,"MEM"
"346","Lance Stephenson",9e+06,"SF",77,230,26,146,308,66,81,115,73,19,6,46,56,369,"MEM"
"347","Elliot Williams",55722,"PG",77,190,5,2,10,3,4,4,4,0,0,1,2,8,"MEM"
"348","Brandan Wright",5500000,"PF",82,210,12,35,52,13,24,43,6,5,15,10,21,83,"MEM"
"349","Trevor Ariza",8193030,"SF",80,215,81,357,859,126,161,366,188,160,26,113,177,1025,"HOU"
"350","Michael Beasley",306527,"SF",81,235,20,107,205,38,49,98,16,11,9,24,39,255,"HOU"
"351","Patrick Beverley",6500000,"PG",73,185,71,258,594,60,88,250,239,94,26,91,234,700,"HOU"
"352","Corey Brewer",8200000,"SF",81,186,82,212,552,105,140,199,109,84,19,78,168,590,"HOU"
"353","Clint Capela",1242720,"C",82,240,77,231,397,80,211,494,47,59,92,60,190,542,"HOU"
"354","Sam Dekker",1646400,"SF",81,230,3,0,0,0,0,1,0,1,0,0,0,0,"HOU"
"355","Andrew Goudelock",200600,"PG",75,200,8,9,20,3,4,2,4,6,2,7,4,22,"HOU"
"356","James Harden",15756438,"SG",77,220,82,710,1617,720,837,501,612,139,51,374,229,2376,"HOU"
"357","Montrezl Harrell",1e+06,"PF",80,240,39,58,90,24,46,65,17,11,11,17,48,140,"HOU"
"358","Chuck Hayes",83583,"C",78,240,2,1,2,2,2,8,2,0,0,3,6,4,"HOU"
"359","Dwight Howard",22359364,"C",83,265,71,372,600,232,474,835,98,69,113,166,219,976,"HOU"
"360","Terrence Jones",2489530,"PF",81,252,50,166,367,77,116,211,41,23,39,49,86,434,"HOU"
"361","K.J. McDaniels",3333333,"SF",78,205,37,29,72,24,30,42,10,7,6,17,30,89,"HOU"
"362","Donatas Motiejunas",2288205,"PF",84,222,37,90,205,34,53,109,41,17,5,44,69,230,"HOU"
"363","Josh Smith",1499000,"PF",81,225,23,58,169,12,25,67,48,16,13,36,56,151,"HOU"
"364","Jason Terry",1499187,"SG",74,185,72,151,376,27,33,79,103,47,9,49,91,422,"HOU"
"365","Trevor Booker",4775000,"PF",80,228,79,190,388,71,106,452,84,59,41,81,169,463,"UTA"
"366","Trey Burke",2658240,"PG",73,191,64,262,634,67,82,112,148,35,6,80,86,679,"UTA"
"367","Alec Burks",9213484,"SG",78,214,31,137,334,106,141,109,63,18,4,51,71,412,"UTA"
"368","Derrick Favors",11933333,"PF",82,265,62,418,811,180,254,503,94,74,91,104,150,1016,"UTA"
"369","Rudy Gobert",1175880,"C",85,245,61,198,354,161,283,668,91,45,135,114,163,557,"UTA"
